,Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region
73,74,"
whinderssonnunes",79.0,58800000,1600000,58800000,0.009,58800000,58800000,Brazil
74,75,"
milliebobbybrown",80.0,58600000,4099999,58600000,0.082,58600000,58600000,United States
75,76,"
karimbenzema",42.0,58300000,863100,58300000,0.017,58300000,58300000,Spain
76,77,"
gag",86.0,58000000,662000,58000000,0.005,58000000,58000000,United States
77,78,"
karolg",83.0,56800000,3100000,56800000,0.09,56800000,56800000,India
78,79,"
chrishemsworth",86.0,56000000,2600000,56000000,0.023,56000000,56000000,Australia
79,80,"
iamzlatanibrahimovic",86.0,55800000,1500000,55800000,0.01,55800000,55800000,
80,81,"
paulpogba",80.0,55500000,1400000,55500000,0.01,55500000,55500000,France
81,82,"
zacefron",86.0,55200000,2300000,55200000,0.031,55200000,55200000,United States
82,83,"
juventus",87.0,55100000,194000,55100000,0.003,55100000,55100000,
83,84,"
bellahadid",79.0,55100000,1200000,55100000,0.02,55100000,55100000,United Kingdom
84,85,"
leonardodicaprio",86.0,55100000,396600,55100000,0.005,55100000,55100000,
85,86,"
beingsalmankhan",76.0,54500000,1400000,54500000,0.02,54500000,54500000,India
86,87,"
tatawerneck",86.0,54300000,958900,54300000,0.01,54300000,54300000,Brazil
87,88,"
sunnyleone",84.0,54100000,748200,54100000,0.006,54100000,54100000,
88,89,"
dishapatani",74.0,53700000,1600000,53700000,0.015,53700000,53700000,United States
89,90,"
sergioramos",87.0,53500000,983700,53500000,0.012,53500000,53500000,
90,91,"
ladygaga",83.0,53300000,1400000,53300000,0.011,53300000,53300000,United States
91,92,"
robertdowneyjr",86.0,53300000,2800000,53300000,0.014,53300000,53300000,United States
92,93,"
mosalah",22.0,52900000,1800000,52900000,0.013,52900000,52900000,
93,94,"
jbalvin",87.0,52900000,858900,52900000,0.008,52900000,52900000,
94,95,"
ayutingting92",85.0,52900000,144900,52900000,0.001,52900000,52900000,Indonesia
95,96,433,79.0,51900000,872500,51900000,0.016,51900000,51900000,Netherlands
96,97,"
thv",83.0,51700000,15400000,51700000,0.25,51700000,51700000,
97,98,"
hudabeauty",82.0,51200000,180900,51200000,0.001,51200000,51200000,United States
98,99,"
michelleobama",85.0,51100000,685200,51100000,0.004,51100000,51100000,
99,100,"
kritisanon",76.0,51000000,891500,51000000,0.011,51000000,51000000,India
100,101,"
adele",84.0,50900000,4700000,50900000,0.031,50900000,50900000,United States
101,102,"
krisjenner",80.0,50300000,351200,50300000,0.005,50300000,50300000,United States
102,103,"
jamesrodriguez10",86.0,50000000,1400000,50000000,0.011,50000000,50000000,Colombia
103,104,"
blackpinkofficial",85.0,49900000,2100000,49900000,0.027,49900000,49900000,
104,105,"
lelepons",81.0,49700000,2400000,49700000,0.031,49700000,49700000,United States
105,106,"
prillylatuconsina96",84.0,49600000,369600,49600000,0.003,49600000,49600000,Indonesia
106,107,"
charlidamelio",80.0,49200000,4200000,49200000,0.028,49200000,49200000,
107,108,"
gucci",86.0,49100000,115100,49100000,0.001,49100000,49100000,Italy
108,109,"
paulodybala",85.0,49000000,1800000,49000000,0.021,49000000,49000000,
109,110,"
louisvuitton",82.0,48900000,127500,48900000,0.001,48900000,48900000,France
110,111,"
dovecameron",85.0,48600000,1600000,48600000,0.021,48600000,48600000,United States
111,112,"
jokowi",85.0,48500000,445700,48500000,0.004,48500000,48500000,
112,113,"
haileybieber",85.0,48300000,2000000,48300000,0.036,48300000,48300000,
113,114,"
nusr_et",81.0,48200000,696600,48200000,0.005,48200000,48200000,United Arab Emirates
114,115,"
garethbale",86.0,48100000,758300,48100000,0.007,48100000,48100000,
115,116,"
harrystyles",57.0,47600000,4700000,47600000,0.064,47600000,47600000,United States
116,117,"
vanessahudgens",84.0,47400000,629100,47400000,0.006,47400000,47400000,United States
117,118,"
larissamanoela",85.0,47300000,575000,47300000,0.005,47300000,47300000,Brazil
118,119,"
zayn",82.0,47300000,4700000,47300000,0.085,47300000,47300000,United States
119,120,"
travisscott",78.0,46500000,3000000,46500000,0.057,46500000,46500000,United States
120,121,"
stephencurry30",84.0,46400000,1100000,46400000,0.011,46400000,46400000,
121,122,"
5-Minute Crafts GIRLY",85.0,46200000,155400,46200000,0.001,46200000,46200000,United States
122,123,"
thenotoriousmma",82.0,46200000,1100000,46200000,0.006,46200000,46200000,United States
123,124,"
daddyyankee",80.0,46100000,650000,46100000,0.008,46100000,46100000,Puerto Rico
